"","con","subsize","sampling","ratio"
"106",0.0592275051865727,"36","TroLev",1.01587301587302
"107",0.0593166522448882,"36","random",1.17333333333333
"108",0.0593166522448882,"36","TroLev",1.38666666666667
"109",0.0593447273597121,"36","random",1.01587301587302
"110",0.0593447273597121,"36","TroLev",1.52380952380952
"111",0.0597549919039011,"36","random",1.54385964912281
"112",0.0597549919039011,"36","TroLev",0.982456140350877
"113",0.0597945006331429,"36","random",1.52380952380952
"114",0.0597945006331429,"36","TroLev",1.9047619047619
"115",0.0598247910151258,"36","random",0.848484848484849
"116",0.0598247910151258,"36","TroLev",1.33333333333333
"117",0.0600967737147585,"36","random",0.761904761904762
"118",0.0600967737147585,"36","TroLev",0.634920634920635
"119",0.0602668641135097,"36","random",1.16666666666667
"120",0.0602668641135097,"36","TroLev",0.666666666666667
"121",0.0603892141953111,"36","random",1.43589743589744
