"","con","ext_all","ext_big","ext_small","ext_BAS","shan_all","shan_big","shan_small","shan_BAS","maxTL","minTL","varTL","maxTL_B","minTL_B","varTL_B","maxTL_s","minTL_s","varTL_s"
"52",0.05,7,5,1,0,3.12308034717831,0.609541961999175,2.12871327573497,3.10458265182856,5.73743372111428,1,1.57121370857741,5.73743372111428,2,0.803309787986026,4.54283481436259,2,0.455278932204643
"53",0.05,5,4,0,0,2.71560830496061,1.82308794396625,2.90172989946104,2.70661983997229,5.5406746031746,1,1.72630377283491,5.31098341301047,2,0.883902635175054,4.29642441618881,2,0.524534628975909
"54",0.05,3,2,0,0,2.89122444556791,1.45935230962698,2.70671324148434,2.86416658217573,5.54943069472136,1,1.37911806367053,5.54943069472136,2.92380952380952,0.519795665816414,3.76851851851852,2,0.353772766316441
"55",0.05,16,10,2,0,2.61114873134916,1.51226225856018,2.83966451980606,2.5884874136029,6.22041026968748,1,2.05714409074264,6.22041026968748,2,0.948974221640124,5.875,2,1.17754011012327
"56",0.05,21,13,0,0,3.0141146572309,1.29262878627357,2.83326468326159,3.00874761626396,5.08319694963382,1,1.46361268373471,5.08319694963382,2.5,0.489311059418037,4.38888888888889,2,0.566809982158585
"57",0.05,13,9,0,0,2.97791802163284,1.91249907587252,2.80938785089556,2.97141756342779,5.3,1,1.22071563286929,5.3,2,0.575412475165535,4.12,2,0.418748280116901
"58",0.05,11,3,0,0,2.65665370162759,1.61892831240307,2.23545441499818,2.6312940733434,5.78395854395332,1,1.63303960550417,5.78395854395332,2,0.852387032608297,3.56070453873249,2,0.311746648047153
"59",0.05,19,10,3,0,2.71463007012231,1.17206280560399,2.6739741500187,2.68404332662294,4.83278614690963,1,1.36835724734759,4.71752296649382,2,0.491122481054596,4.125,2,0.509942247696533
"60",0.05,13,8,0,0,2.78921936875569,1.89129083170167,2.82951780770415,2.77831562937519,4.39824686982272,1,1.12499906262271,4.2469475822552,2,0.381284722468103,3.640625,2,0.28430254625697
"61",0.05,13,10,0,0,2.77454670591148,1.02321719388719,2.84934376096395,2.72114837340531,7.0514417859226,1,2.00421986116543,6.04605311711253,2.5,0.839606774277534,4.93594907407407,2,0.689473696446996
"62",0.05,18,6,1,0,2.78628024068599,1.57590870201782,2.26461001936475,2.76106192354724,5.55763438033811,1,1.56168752583802,5.41517753992659,2,0.681423198573444,3.875,2,0.358685394542937
"63",0.05,16,8,1,0,2.96325584293801,2.20610771860865,2.61890992154469,2.95061529319239,5.5,1,1.62338759792056,5.35480714282441,2.94,0.497557472822825,4.5,2,0.40542725656831
