"","con","subsize","ext_ratio","ext_ratioTL"
"15457",0.27209454360418,"8",2.4,0.8
"15458",0.272280588466674,"8",0.705882352941176,1.41176470588235
"15459",0.27228527108673,"8",0.615384615384615,0.615384615384615
"15460",0.272345021483488,"8",1.6,1.33333333333333
"15461",0.272360736504197,"8",1.09090909090909,1.09090909090909
"15462",0.272593824379146,"8",0.692307692307692,0.692307692307692
"15463",0.272694752342068,"8",1.09090909090909,1.45454545454545
"15464",0.272761855972931,"8",1.33333333333333,1.33333333333333
"15465",0.272782265627757,"8",1.24137931034483,1.03448275862069
"15466",0.272783582634293,"8",0.352941176470588,1.76470588235294
"15467",0.272789081931114,"8",0.774193548387097,0.387096774193548
"15468",0.272898102831095,"8",1.09090909090909,2.18181818181818
"15469",0.272927410993725,"8",1.71428571428571,1.71428571428571
"15470",0.273010614234954,"8",1.5,0.75
"15471",0.273035927093588,"8",1.26315789473684,0.631578947368421
"15472",0.273222502111457,"8",0.96,1.92
"15473",0.273452295828611,"8",1.76470588235294,1.05882352941176
"15474",0.273744106129743,"8",1,0.5
"15475",0.273839606391266,"8",2.57142857142857,0
"15476",0.273925952566788,"8",0.8,1.2
"15477",0.274038985185325,"8",1.44,0.96
"15478",0.274054745119065,"8",1,1.5
"15479",0.274269717046991,"8",0.789473684210526,1.26315789473684
"15480",0.274367044074461,"8",1.17647058823529,1.17647058823529
"15481",0.274492028797977,"8",1.24675324675325,1.09090909090909
"15482",0.274513039784506,"8",0.571428571428571,0.571428571428571
"15483",0.274709303234704,"8",0.857142857142857,1.14285714285714
"15484",0.274767789710313,"8",1.61538461538462,1.15384615384615
"15485",0.274789619958028,"8",1.05882352941176,1.05882352941176
"15486",0.274920584610663,"8",1.05,0.9
"15487",0.274951498187147,"8",1.14285714285714,0.571428571428571
"15488",0.274997010594234,"8",0,1.37142857142857
"15489",0.275205548503436,"8",0.972972972972973,1.13513513513514
"15490",0.275340198958293,"8",1.22033898305085,1.01694915254237
"15491",0.275358497560956,"8",0.923076923076923,0
"15492",0.275482580671087,"8",1.16129032258065,0.580645161290323
"15493",0.275546017778106,"8",2,2
"15494",0.275603491859511,"8",0.75,1.5
"15495",0.275664943642914,"8",0.8,0.8
"15496",0.275805293722078,"8",0.923076923076923,0
"15497",0.276070730155334,"8",1.13207547169811,1.13207547169811
"15498",0.276258630352095,"8",0.857142857142857,2.57142857142857
"15499",0.276337044104002,"8",0.615384615384615,0.615384615384615
"15500",0.27635319896508,"8",0.545454545454546,1.63636363636364
"15501",0.276353758107871,"8",1.66666666666667,0.666666666666667
"15502",0.276572926854715,"8",1.36363636363636,1.36363636363636
"15503",0.276858086115681,"8",1.86666666666667,0.8
"15504",0.276969167985953,"8",0.923076923076923,0.307692307692308
"15505",0.27722479396034,"8",0.827586206896552,1.03448275862069
"15506",0.27746177893132,"8",0.888888888888889,0.888888888888889
"15507",0.277474224660546,"8",0.786885245901639,0.786885245901639
"15508",0.277748383721337,"8",1.84615384615385,0.923076923076923
"15509",0.277777411299758,"8",0.857142857142857,0.857142857142857
"15510",0.27804082497023,"8",0.461538461538462,0.923076923076923
"15511",0.278115828265436,"8",2.18181818181818,1.09090909090909
"15512",0.278531187889166,"8",1.02857142857143,0.342857142857143
"15513",0.278531499067321,"8",0.782608695652174,1.30434782608696
"15514",0.278632456297055,"8",1.04347826086957,1.04347826086957
"15515",0.278694650786929,"8",1.22448979591837,1.46938775510204
"15516",0.278752586292103,"8",1.6,0
"15517",0.278758746781386,"8",1.6551724137931,0.413793103448276
"15518",0.278802846977487,"8",1.28571428571429,0.428571428571429
"15519",0.278959884238429,"8",1.06666666666667,0.8
"15520",0.279017922771163,"8",1.125,0.75
"15521",0.279156753909774,"8",1.25,1.5
"15522",0.279250843357295,"8",1.46938775510204,0.73469387755102
"15523",0.279270731378347,"8",0,1.6
"15524",0.279379837424494,"8",1.5,0.75
"15525",0.279397834627889,"8",1.2972972972973,0.648648648648649
"15526",0.279403292993084,"8",0,0
"15527",0.279452896118164,"8",0.666666666666667,1.33333333333333
"15528",0.279512101551518,"8",0,1
"15529",0.279532074020244,"8",1.09090909090909,1.45454545454545
"15530",0.27962698887568,"8",0.837209302325581,0.837209302325581
"15531",0.279640625184402,"8",0.857142857142857,0.857142857142857
