"","con","subsize","n_consumers","sampling","ratio"
"94",0.0541879625990987,"24",95,"TroLev",1.18518518518519
"95",0.0541879625990987,"24",95,"lowest BM",0.58641975308642
"96",0.0541879625990987,"24",95,"highest BM",1.90586419753086
"97",0.0541952121071518,"24",95,"random",0.421052631578947
"98",0.0541952121071518,"24",95,"TroLev",0.842105263157895
"99",0.0541952121071518,"24",95,"lowest BM",0
"100",0.0541952121071518,"24",95,"highest BM",2.29166666666667
"101",0.054383042245172,"24",95,"random",1.23076923076923
"102",0.054383042245172,"24",95,"TroLev",1.23076923076923
"103",0.054383042245172,"24",95,"lowest BM",0
"104",0.054383042245172,"24",95,"highest BM",1.21794871794872
"105",0.0544484375044703,"24",95,"random",0.96
"106",0.0544484375044703,"24",95,"TroLev",1.12
"107",0.0544484375044703,"24",95,"lowest BM",0.633333333333333
