"","con","ext_all","n_basal","ext_big","ext_small","ext_BAS","shan_all","shan_big","shan_small","shan_BAS","rand_shan_36","rand_shan_32","rand_shan_28","rand_shan_24","rand_shan_20","rand_shan_16","rand_shan_12","rand_shan_8","rand_shan_4","rand_ext_36","rand_ext_32","rand_ext_28","rand_ext_24","rand_ext_20","rand_ext_16","rand_ext_12","rand_ext_8","rand_ext_4"
"988",0.200867525301874,17,5,8,5,0,1.06812709108033,1.60378884280254,2.10270011739691,1.02574639897335,1.41080434689231,1.4374734046104,1.2058242706499,1.49205702321565,0.883420639041021,1.06140079287013,0.655127375076458,0.994402170438025,0.614078115522621,7,5,6,6,3,2,0,0,0
"989",0.200899963686243,46,7,23,8,0,0.376175926808073,0,1.83670472499445,0.289039460882357,1.13104118149306,1.23238020736841,0.663658718251126,0.628060315835802,0.228504475214189,0.495754232959994,0.449990767107635,0.0199338873028138,0,18,19,21,16,13,6,8,4,3
"990",0.200930182612501,25,7,9,4,0,1.24386769245132,1.51126712067984,2.13254843534477,1.20250623236602,1.35625319409274,1.74611861522206,1.22207841071781,0.998405130164248,0.747508060182826,0.137028226061448,0.03870842878419,0.612065711092436,0.0176351991744463,12,7,7,5,6,6,4,4,1
"991",0.201178134675138,7,8,2,4,0,1.4382384108166,1.7781177976813,1.640248604286,1.41085309170098,1.08746040650579,1.34121520496264,1.36437105752265,1.07666599167419,1.30904621799874,1.05237075814122,0.76751468653604,0.975854823179001,0.0853812559377547,5,2,0,4,2,3,1,1,1
"992",0.201302057830617,38,6,22,5,0,0.85939120560859,0.529161281177268,1.79540741052002,0.81003995451808,1.08457099021698,1.36361871791811,0.186055784781506,0.66302790617925,0.89343187325206,1.22828275506351,0.586445219561,0.132203850585901,0.378321876301896,17,15,14,12,9,8,7,5,0
"993",0.201365973055363,46,5,21,7,0,1.15816509497079,2.50436644157047e-05,1.76740439714406,1.14054406517328,0.652275821659168,1.22885970561035,1.09345387815834,1.05518326213379,0.694969940083146,0.48632290160563,0.0913012300396033,0.986024380709843,0.000835744364245622,24,15,13,12,11,8,5,4,2
"994",0.201422794396058,32,8,16,2,0,1.38773298862394,0.549914689849339,1.57682763571261,1.34140003102062,0.678719531329534,0.788705010815392,0.98399731583586,0.800645624033128,0.586262605479881,0.969711687534509,0.310870018599343,0.154119623533699,0.0022350614958509,14,15,14,10,6,7,5,2,1
"995",0.201461929013021,18,10,11,0,0,2.22970489494263,0.46013312320344,2.25975749163126,2.20443626270206,2.16162541258371,1.57570835658992,1.86829637679286,1.20236244559358,1.39864668373054,1.33848973209101,0.474099837601661,1.03125249172576,1.76623586478232e-05,6,7,5,6,4,1,3,1,2
"996",0.201851056492887,9,7,2,3,0,1.69238988366903,1.96218304200239,1.98522724066832,1.66995793965631,1.2997740003985,1.32320121685712,1.64564240177703,0.975063153556573,1.06399762974299,0.262389372791034,0.468748480276382,0.411620725339733,0.0010962018759638,4,4,0,2,2,5,1,2,0
"997",0.202107227011584,27,5,7,6,0,1.19344249409539,1.8796433880663,1.98343391336819,1.14704412226796,1.83477216840885,0.877582514624169,1.08772348765436,0.378732583206038,0.654690702022016,0.0104733569841126,0.526539453511522,0.864994812884783,0.000599521519720962,11,13,7,8,8,7,1,3,1
