"","Connectance_0.05","Connectance_0.075","Connectance_0.1","Connectance_0.125","Connectance_0.15","Connectance_0.175","Connectance_0.2","Connectance_0.225","Connectance_0.25","Connectance_0.275","Connectance_0.3","Connectance_0.325","Connectance_0.35","Connectance_0.375","Connectance_0.4","Connectance_0.425","Connectance_0.45"
"extinctions.h.89",8,12,12,10,12,6,13,11,5,15,10,10,14,15,7,7,11
"extinctions.h.90",9,13,12,12,12,13,10,6,13,14,7,10,7,9,13,8,9
"extinctions.h.91",5,10,8,11,15,12,10,13,12,12,8,9,11,11,8,10,8
"extinctions.h.92",12,11,5,9,14,12,8,10,14,9,7,13,15,8,12,9,8
"extinctions.h.93",10,4,14,12,12,11,12,12,15,11,14,12,7,5,10,10,10
"extinctions.h.94",7,12,8,8,13,11,14,14,10,11,8,6,11,14,6,4,9
"extinctions.h.95",9,7,9,12,10,9,14,10,12,13,13,8,7,10,9,9,7
"extinctions.h.96",10,13,7,8,9,8,11,9,11,10,8,14,10,8,9,12,15
"extinctions.h.97",6,12,8,9,9,12,12,13,9,10,9,12,4,11,9,12,9
"extinctions.h.98",3,9,11,8,11,11,10,8,14,7,14,7,11,9,11,6,7
"extinctions.h.99",8,6,12,10,10,7,13,13,12,10,14,10,8,9,8,8,8
