"","Connectance_0.05","Connectance_0.075","Connectance_0.1","Connectance_0.125","Connectance_0.15","Connectance_0.175","Connectance_0.2","Connectance_0.225","Connectance_0.25","Connectance_0.275","Connectance_0.3","Connectance_0.325","Connectance_0.35","Connectance_0.375","Connectance_0.4","Connectance_0.425","Connectance_0.45"
"extinctions.BAS.32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.35",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.51",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.52",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.55",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.57",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.65",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.67",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.68",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.73",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.74",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.75",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"extinctions.BAS.76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
