"","con","con_1","con_2","con_3","con_4","con_5","con_6","con_7","con_8","con_9","con_10","con_11","con_12","con_13","con_14","con_15","con_16"
"rep_35",2.51935779150187,2.75303791790434,2.82203885134545,2.75548847504542,2.62811712024855,2.51738999827817,1.89715411741373,2.4105571887991,2.6592104853847,2.82674933490454,2.52900349048925,2.38283740872946,2.64190427136617,2.54894731369354,2.25304488693155,2.73658758510794,2.56231608611299
"rep_36",2.65580431050271,2.66546003319586,2.57343187625136,2.56809358118214,2.51677641484852,2.9412419308398,0.756816791894022,2.67325131401578,2.41619370329376,2.74564621328768,2.34325770550818,2.43790914377471,2.85620872260008,2.84164167572737,2.67269668603887,2.80177692829067,2.75081778510661
"rep_37",2.84053685095692,2.64149922883745,2.17672479636911,2.72054202334662,2.17583867000319,2.7240980726007,2.49910008777929,2.6996647605336,2.78767324612765,2.95384812770701,0.13543855150763,2.12175728938366,2.58351241372001,2.33897553829869,3.02565392494804,2.61864960134943,2.64139592829035
"rep_38",2.87666433661357,2.7119027729716,2.78642620807165,2.46985461764539,2.98056794298014,0.179630461469373,1.70041565468772,2.54895337640689,1.28591513334907,2.43459191358342,2.55306878178059,2.72107566255182,1.66774430750554,2.61041253675357,2.63220566582008,2.71367519141642,2.91874568060543
"rep_39",2.74544776680363,2.86454540373501,2.74292356443159,2.87621464985232,2.83035838064006,2.68061816056672,2.23137798009814,2.61780397091615,2.82722635366837,2.46756189986731,2.8083267742158,2.62102592186707,2.45410558813031,2.44644316364,2.71307808334686,2.02745637880162,2.47696897348932
"rep_40",2.56731731529324,2.71638914063249,2.71975793565935,2.55707932391979,2.36771916859194,2.71297716380593,2.62216075592007,2.22688114100375,2.60401899039913,1.98182300593955,2.13811174420183,2.57225535939555,2.39724936150664,2.7041593789844,1.81228738238126,2.79757561271927,2.73245966188137
"rep_41",2.62839206428188,2.73144931105082,2.73975679565099,2.59808608012519,2.63854616651773,2.46177817694717,2.41961047295324,2.80740743466803,1.80684432676485,1.61258581028604,1.50397633865532,2.80109107925432,2.40263029730497,2.76630103593963,0.0970733304272192,1.69077956405632,1.70859441239971
"rep_42",2.76305419745368,2.80118512395864,2.54393336777904,2.76596393478891,2.72570843580823,2.87718006415001,2.50617726115946,2.66445739970983,2.82186491891105,2.56935893422087,2.39738886315615,2.67235836596192,2.27227971851906,2.76500183996478,2.25698338451468,2.88342133700633,2.72915982531932
"rep_43",2.54173881464862,2.3711259589459,2.84959787729166,2.3519220033029,2.30090634507016,2.41011738495427,2.59263536422273,2.79595074256859,2.32715607366833,2.89588514546151,2.63669028960503,2.53502350552305,2.51066990109633,2.55798683357214,2.72265870686986,2.9371412846717,2.40377313958405
"rep_44",2.84457361721776,2.67724386309507,2.82413180693163,2.75584256791765,2.74517881805287,2.77039756530604,0.24915918313961,2.49672292178222,2.60037233252273,2.74545582897646,2.85938469326082,2.73458658491665,2.7751713773249,2.96101975362757,2.42753569301363,2.68258232356205,2.28011000666541
"rep_45",2.89936217630604,2.79701056169886,2.77661247174072,2.76151027949054,2.89989152178134,2.51693591148671,2.46607607150009,2.48738702321708,2.16359476898905,2.26841017504539,2.35993432365901,1.46245288898564,2.66792376198565,2.54434517564753,2.59748344993827,2.39662524614301,2.9103615083194
"rep_46",2.49937103391526,2.67230704280411,2.48411509533888,2.60353305995767,2.74157663947275,2.33418435271775,2.70288912377943,2.6425015666371,2.50865387421861,2.67261322483011,2.51056426455752,2.33759979783677,2.87223587378986,2.74936902935785,2.71073193234759,2.63619053943845,2.92993467964144
"rep_47",2.64661289520797,2.76569865763746,2.71110582175218,2.59006668349728,2.63492508051361,2.58491684550446,0.192212095223819,2.13777706906339,2.57476740927329,2.68760661970212,1.97800482918261,2.85433028503854,1.78661714030909,2.36383341479908,2.49226339477505,1.11020575549709,2.97062105694408
"rep_48",2.74012296603571,2.56689927344781,2.5164953566586,2.80302134998272,2.21090590797029,2.87872893314306,2.50033957577173,2.4201987025339,2.55179213297903,2.76524236682827,2.87374293926982,2.76523645189829,2.33957391021038,2.61395957514554,1.67353056704971,2.89691518973045,2.53409498251955
